,job_id,job_title,company_name,company_address,job_category,job_url,job_description,job_requirements,employment_type,seniority,job_skills,pay_min,pay_max,pay_type,posting_date,closing_date
120,JOB-2019-0087047,IT Data & Analytics Manager (FP&A),JOHNSON & JOHNSON PTE. LTD.,"ASCENT, 2 SCIENCE PARK DRIVE 118222","Information Technology, General Management",https://www.mycareersfuture.sg/job/data-analytics-manager-johnson-johnson-cf8233462d8f15fa7c397306632ecb51,"We are seeking an IT Manager who can combine Information Technology (IT) expertise with knowledge of the finance planning and analysis and on Finance environment to support transformational change to accelerate business value realization by leveraging legacy (SAP) and emerging platforms in Big Data, in memory and Cloud Based Data Technologies. This position is in Corporate Business Technology ASPAC, reporting into the regional Product Line Owner for Finance & Procurement.","Must have Bachelor or equivalent degree in Business, IT, Management, Finance or related field. at least 5 years of professional experience in IT Finance, inclusive of at least 2 years of experience in financial data analytics and reporting and SOX compliance Working knowledge of SAP, Business Warehouse, Teradata, SAP Hana or cloud-based technologies both in project and in enterprise level models.   Strong data mapping skills sufficient to take ownership of all mapping deliverables and ensure successful hand over to the technical or support team Strong SQL skills Takes the initiatives to develop analytics tasks using new technologies (Alteryx, Tableau) Experience with Agile System Development methodologies, including use of Agile tools like JIRA Articulate with excellent verbal and written communication skills Ability to think creatively, highly-driven and self-motivated Demonstrated ability to roll-up sleeves and work with the team in a hands-on management capacity. Able to handle business users in conceptual analysis, problem solving and data analysis, with capability to facilitate business requirements.",Permanent,Manager,"['Business Development', 'Business Strategy', 'Change Management', 'Customer Service', 'Leadership', 'Management', 'Marketing', 'Marketing Strategy', 'Microsoft Office', 'New Business Development', 'Operations Management', 'Process Improvement', 'Program Management', 'Project Management', 'Sales', 'Social Media', 'Strategic Planning', 'Strategy', 'Team Building', 'Training']","$8,000","$16,000",Monthly,24 Apr 2019,24 May 2019
121,JOB-2019-0087787,Data Scientist (Project Manager),EPS COMPUTER SYSTEMS PTE LTD,"SPORE BUSINESS FEDERATION CTR, 160 ROBINSON ROAD 068914",Information Technology,https://www.mycareersfuture.sg/job/data-scientist-eps-computer-systems-ecc54c848d8518b15d57426b4c00ed18,,"PhD/Masters/Bachelors (with good honours) in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines. Prefer candidates with 8 or more years of working experience, with at least 2 years of  . Proven track record of managing delivery of end-to-end development projects to customer Domain experience in   are highly desired. AI/ML/AA experience in smart city, social media, and procurement are also highly desired.  Good knowledge of AI/ML/AA models, software, and tools with the ability to conceptualise and architect the key components of AI/ML/AA projects; and to develop prototypes using statistical software packages such as R/SAS/SPSS.","Permanent, Contract, Full Time",Manager,"['Budgets', 'Business Analysis', 'Business Development', 'Business Strategy', 'Change Management', 'Construction', 'Contract Management', 'Integration', 'Leadership', 'Management', 'Microsoft Office', 'MS Project', 'Process Improvement', 'Program Management', 'Project Management', 'Project Planning', 'Software Project Management', 'Strategic Planning', 'Strategy', 'Team Leadership']","$6,000","$9,000",Monthly,24 Apr 2019,24 May 2019
122,JOB-2019-0087681,Manager - Audit ( Data Analytics),Company Undisclosed,,Accounting / Auditing / Taxation,https://www.mycareersfuture.sg/job/manager-audit-631e81111e8a7278b54095bf688562ab,"· With the use of data analytics, support the audit by providing insight from analysis and correlation of data extracted from various systems which support the business. Type of testing that the DA can perform includes the following: · Background information – Performing data profiling and generating statistics to provide context and information on business processes · Recalculation – Re-performing calculations such as payroll, claims payments and metrics from MI packs · Exception detection - Finding cases where known restrictions or guidelines have not been adhered to · Anomaly detection - Finding typical patterns of behaviour and detecting unusual or anomalous patterns. · Root cause analysis - Identifying and quantifying the factors that contribute to a control failure. · Provide independent, objective assurance that risks are being managed to ensure they are within the risk appetite approved by the Board. Support the Audit Director in his / her assessment of the overall risk management environment in Prudential.",,Full Time,Professional,"['Accounting', 'Auditing', 'Budgets', 'CPA', 'Due Diligence', 'External Audit', 'Finance', 'Financial Accounting', 'Financial Analysis', 'Financial Reporting', 'Forecasting', 'GAAP', 'IFRS', 'Internal Audit', 'Internal Controls', 'Management', 'Managerial Finance', 'Risk Management', 'Sarbanes-Oxley Act', 'US GAAP']","$6,000","$10,000",Monthly,24 Apr 2019,24 May 2019
123,JOB-2019-0059260,"Senior Manager / Assistant Director (Data Science), NUHS Management Decision Support Office",NATIONAL UNIVERSITY HEALTH SYSTEM PTE. LTD.,1E KENT RIDGE ROAD 119228,Information Technology,https://www.mycareersfuture.sg/job/senior-manager-assistant-director-nuhs-management-decision-support-office-national-university-health-system-fb52da27c4dca41df18bed2438bca1ce,"As Senior Manager/Assistant Director in Management Decision Support Office, you will identify, design and build models for initiatives where data analytics can be applied to transform and optimize program deliverables.","Minimum Master’s degree in Analytics, Statistics, Computer Science, Information Management, Mathematics, Economics, Operation Research, Engineering or Finance. At least 5 years of relevant working experience. Good interpersonal skills, a detail-oriented and flexible person who can work across different areas within the team as well as alignment cross functionally outside the team. Ability to deliver clear, concise reports and presentations/dashboards and effectively articulate observations and recommendations. Proficient in the use of Data Visualization & Management Tools (e.g. Tableau), Commercial Statistical Software (e.g. SAS, SPSS, STATA) and/or open source platforms (e.g. R and Python). Ability to build and interpret probabilistic models of complex, high-dimensional systems is a plus. Experience with Regression Models, Neural Networks, Cluster Analysis, Structural Equations Models, formulating and solving OR models like linear (large-scale), mixed integer, non-linear and evolutionary programming methods is a plus; Knowledge of natural language processing, text mining, Random Forest and Ensemble Models is a plus Familiar with database management, architecture design, system integration, security and data governance is a plus Can-do attitude and ability to work independently, comfortable with ambiguity Thrive in problem solving, learning and applying new knowledge.",Full Time,Middle Management,"['Business Analysis', 'Business Development', 'Business Strategy', 'Change Management', 'CRM', 'Cross-functional Team Leadership', 'Leadership', 'Management', 'Management Consulting', 'Marketing', 'Marketing Strategy', 'Process Improvement', 'Product Management', 'Program Management', 'Project Management', 'Risk Management', 'Start-ups', 'Strategic Planning', 'Strategy', 'Vendor Management']","$5,410","$10,890",Monthly,23 Apr 2019,23 May 2019
124,JOB-2019-0086047,"Manager, Data and Analytics, Advisory",ERNST & YOUNG ADVISORY PTE. LTD.,1 RAFFLES QUAY 048583,Information Technology,https://www.mycareersfuture.sg/job/manager-data-analytics-advisory-ernst-young-advisory-727ec63e9e5c2537d3daf49f8384af07,"EY Data and Analytics is the data and advanced analytics capability within EY Asia-Pacific. We have vibrant practices in Australia, New Zealand, Singapore, Hong Kong, Korea, The Philippines and Malaysia. EY Data and Analytics creates intelligent client organizations using data & advanced analytics. We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business analysts, data scientist, big data engineers, developers and consultants in the region.    Due to our continued growth we are looking for a talented, inquisitive and proactive Big Data IM join our team","Bachelor degree and above in Analytics, Information Systems Management, Computer Science or related fields. Hands on experience in implementing data integration processes, designing and developing data models(ER/Dimensional/Vault), designing, developing and building in detail ETL/ELT processes or programs. Contributed in at least 2 phases of SDLC lifecycle and experience in Big Data, data warehouse, data analytics projects, data migration, change management process, and/or any IM (Information Management) related works. Experience with Hadoop Technologies such as HDFS/MapRFS, Map Reduce(II), Advanced HDFS ACLS, Hive, HBase, Cassandra, Impala, Spark, Drill, Sentry, Sqoop, Flume, Kafka, Storm, Zookeeper and zkClient tool Good understanding on Cloudera or Horton Works or MapR Hadoop Distribution with deep understanding of administration concepts Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata Hands-on experience on Spark, SparkSQL, Hive QL, Drill QL, Impala, Spark Data Frames and Flink CEP, Flink TableAPI&SQL as ETL framework Hands-on programming skill on Scala/Python using Spark/Flink Framework Strong knowledge of Big Data stream ingestion and IoT streaming using Flume, or Kafka, Storm, MQTT, RabbitMQ Good understanding Spark Memory management with and without Yarn memory management Should have basic understanding on Cloudera Manager or HortonWorks Ambari and MapR Control System Should have experience developing and designing in one or more NoSQL database components and objects using Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch Should have experience developing and designing in one or more NoSQL database technologies such as Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch etc. Should good working knowledge of HCatalog and Hive Metadata. Should have working knowledge of Kerberos authentication tool Experience in commercial ETL tools like Talend, Informatica or Alteryx will be added advantage Greenplum, IBM Pure Data etc. will be an added advantage Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata, Greenplum, IBM Pure Data etc. will be an added advantage Good knowledge of data warehouse and data management implementation methodology. Good knowledge of the Information Management framework, including operating model, data governance, data management, data security, data quality and data architecture. Knowledge and experience in  data visualisation concepts using tools such as SAS Visual Analytics or WRS, Tableau, Microsoft PowerBI or Reporting Services, IBM Cognos, SAP Business Objects, etc. will be an advantage. Ability to pick up new tools and able to be independent with minimal guidance from the project leads/managers. Strong analytical and creative problem solving capabilities. Ability to establish personal credibility quickly and demonstrate expertise. Ability to create a positive learning culture, coach and develop team members. 4 to 10 years of experience in data warehouse, data analytics projects, change management process, and/or any IM (Information Management) related works. Delivered at least two (2) full SDLC lifecycle projects. At least one of the industry or domain experiences in Banking/ Telecommunications/ Consulting Preferably with experience in implementation best practices involving data management, data reconciliation, data duping, scheduling, etc. Able to assess design considerations in the aspect of data management and integration Experience with Agile/SCRUM/Kanban software implementation methodology Should have good knowledge in DevOps engineering using Continuous Integration/Delivery tools such as Docker, Jenkins, Puppet, Chef, GitHub Atlassian Jira etc. Certification in any of Hadoop Big Data tool/technology, data integration, data management, or visualisation tools is an added advantage. Knowledge about the infrastructure paradigms such as OS, network etc. is an added advantage.","Permanent, Full Time",Manager,"['Business Development', 'Business Strategy', 'Change Management', 'Customer Service', 'Leadership', 'Management', 'Marketing', 'Marketing Strategy', 'Microsoft Office', 'New Business Development', 'Operations Management', 'Process Improvement', 'Program Management', 'Project Management', 'Sales', 'Social Media', 'Strategic Planning', 'Strategy', 'Team Building', 'Training']","$6,000","$12,000",Monthly,23 Apr 2019,23 May 2019
125,JOB-2019-0086041,"Senior Manager, Data and Analytics, Advisory",ERNST & YOUNG ADVISORY PTE. LTD.,1 RAFFLES QUAY 048583,"Consulting , Information Technology",https://www.mycareersfuture.sg/job/senior-manager-data-analytics-advisory-ernst-young-advisory-ceb4788774cb272be6ed4030cacd2bbd,"The Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.    In addition the Senior Manager evaluates the organisation’s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.    As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation.",,"Permanent, Full Time",Senior Management,"['Business Analysis', 'Business Development', 'Business Strategy', 'Change Management', 'CRM', 'Cross-functional Team Leadership', 'Leadership', 'Management', 'Management Consulting', 'Marketing', 'Marketing Strategy', 'Process Improvement', 'Product Management', 'Program Management', 'Project Management', 'Risk Management', 'Start-ups', 'Strategic Planning', 'Strategy', 'Vendor Management']","$8,000","$16,000",Monthly,23 Apr 2019,23 May 2019
126,JOB-2019-0086664,Senior Data Engineer (Data Science and Artificial Intelligence),Maritime and Port Authority of Singapore,"PSA BUILDING, 460 ALEXANDRA ROAD 119963",Public / Civil Service,https://www.mycareersfuture.sg/job/senior-data-engineer-maritime-port-authority-singapore-5e04d9fe6a97ad7bd5cb86353a193535,"As a core team member of the MPA Data Science and Artificial Intelligence department, the data engineer primary duties are to design, build, integrate MPA’s various data science platforms and systems. Reporting to the Chief Information Officer (CIO),youwill be heavily involved in shaping the department’s strategic development and future roadmap. You will drive the establishment of MPA’s Data Science Centre of Excellence to support the building, development and scaling of next-generation data systems in MPA, including the Singapore Maritime Data Hub, MPA Big Data Platform and internal Data Lake. You will also be responsible for the end-to-end management of MPA’s Hadoop-based Big Data Platform including design, prototyping, productising, optimising and maintaining data pipelines and data sets to support data science team in conducting quantitative analysis and developing machine learning and AI applications. You would be expected to work closely with the application development teams, business users, data analysts and maritime technology community to support data sharing, system integration and application testing. You will also determine the efficacy of our current data architecture and work with the IT team to map out strategy plans to strengthen data management, data governance, data privacy and cyber security issues. We are looking for experienced hires who possess the following:",,Permanent,Executive,"['Analysis', 'Business Analysis', 'Clinical Data Management', 'Clinical Trials', 'Data Analysis', 'Data Management', 'Databases', 'Earth Science', 'EDC', 'GCP', 'Information Management', 'Leadership', 'Management', 'Microsoft Office', 'Microsoft SQL Server', 'Oracle Clinical', 'Program Management', 'Project Management', 'Research', 'SQL']",,,,23 Apr 2019,22 Jul 2019
127,JOB-2019-0031266,Data Scientist,SEPHORA DIGITAL SEA PTE. LTD.,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Information Technology,https://www.mycareersfuture.sg/job/data-scientist-sephora-digital-sea-0c4d95faf8ac62263e8da213c70fc868,"The Sephora Data team is expanding. As a critical business function, finding the right people to contribute to our high growth, fast changing environment is critical and challenging. The Data team’s mission is to create the necessary data pipelines between our applications and enable teams across the business to use the date for informed decision making. To succeed in this team you’ll be super smart, passionate about innovation and trying new approaches, and you’ll be a skilled programmer with strong commercial instincts and passion for business success. We are looking for an exceptional Data Scientist to add to our team.","You will need to be well-versed in all major Machine Learning paradigms (including but not restricted to processing of structured and unstructured data, bias/variance tradeoff, classic classification/regression algorithms, deep learning concepts, representation learning, explainability, unsupervised methods). You will need to be able to communicate clearly with our internal stakeholders, technical or non-technical, deeply understand business priorities and formalize them into challenges that can be tackled with engineering effort, whether it may involve ML or not. You will enjoy being an advocate for Data Science within Sephora SEA and the LVMH group. This involves being naturally prone to knowledge sharing and promotion of a healthy intellectual sharing environment. You will need to be able to work autonomously and have the initiative to come up with original solutions to meaningful challenges. You will need to be able to deal with several concurrent projects and prioritize according to objectives and business impact. You will need to be able to (or be keen on learning how) to setup and deploy machine learning pipelines in a production environment. You will find it rewarding to actively contribute to an organisation of a global group by using ML solutions. You are a Python master and numerical libraries are of no mystery to you. Big bonus points if you are also familiar with either of Node.js/Go. You write SQL like you write English. Even better if BigQuery is not unknown to you. Expertise in a deep learning framework (tensorflow/pytorch) is a big plus. You have experience in getting your hands dirty and are conscious of the reality of datasets (in contrast to academic datasets). You are result-driven. Not only do you care about benchmark scores, you are also keen on deploying your algorithms and make them adopted by your stakeholders. Experience with Cloud services (Google Cloud/AWS) for Machine Learning pipeline deployment is highly appreciated.",Full Time,Executive,"['Analysis', 'Business Analysis', 'Clinical Data Management', 'Clinical Trials', 'Data Analysis', 'Data Management', 'Databases', 'Earth Science', 'EDC', 'GCP', 'Information Management', 'Leadership', 'Management', 'Microsoft Office', 'Microsoft SQL Server', 'Oracle Clinical', 'Program Management', 'Project Management', 'Research', 'SQL']","$4,000","$6,000",Monthly,23 Apr 2019,23 May 2019
128,JOB-2019-0085303,"Assistant Manager, Data Steward for Substantial Shareholding Reporting",EASTSPRING INVESTMENTS (SINGAPORE) LIMITED,"MARINA BAY FINANCIAL CENTRE, 10 MARINA BOULEVARD 018983",Banking and Finance,https://www.mycareersfuture.sg/job/assistant-manager-data-steward-substantial-shareholding-reporting-eastspring-investments-f859a31e4fc2eeddf5898a16301b311e,To provide a high-quality service covering aspects of shareholding disclosures in all relevant territories. To support the Regulatory Reporting function for:,"A high level of literacy & numeracy and an extensive knowledge of MS Excel & Word is required. Knowledge of MS Access is useful. Thorough knowledge of financial markets from an operational perspective including experience of client reporting, preferably within a fund management business. Thorough knowledge of Regulatory Reporting for transactional reporting and/or shareholding disclosures is an advantage. Good communication skills, both written and verbal, and able to liaise effectively with personnel at all levels. Knowledge of the compliance framework surrounding Shareholding disclosures Additional qualifications would be an advantage.",Permanent,Manager,"['Business Development', 'Business Strategy', 'Customer Service', 'Inventory Management', 'Leadership', 'Management', 'Marketing', 'Marketing Strategy', 'Microsoft Excel', 'Microsoft Office', 'Microsoft Word', 'PowerPoint', 'Project Management', 'Recruiting', 'Retail', 'Sales', 'Social Media', 'Strategic Planning', 'Team Building', 'Training']","$5,000","$8,000",Monthly,22 Apr 2019,22 May 2019
129,JOB-2019-0083875,data analytics manager,SINGEX HOLDINGS PTE. LTD.,"SINGAPORE EXPO, 1 EXPO DRIVE 486150","Information Technology, Others",https://www.mycareersfuture.sg/job/data-analytics-manager-singex-holdings-95a380ffe68a26a31f0c770c05a6d03f,"We are looking for a passionate Data Analytics Manager who can help shape the development of SingEx’s BI infrastructure & Data Governance including Data Warehousing, Reporting and Analytics platforms.    Core responsibility is to drive data requirements, identify and track key metrics, and provide data-driven insights that are tailored and relevant to support evolving business needs.    Responsibilities:","Working experience as a data analyst or business data analyst Proficient in one or more tools/languages like: SQL, R, Python, Excel (Advanced), Alteryx, Tableau, Jedox, Data Miner or other ETL/Visualization/Statistical preferred Sound understanding of data administration and management functions (collection, analysis, distribution, documentation etc.) Ability to work with complex data sets, and combine data from multiple sources into a single dashboard/reporting system An analytical mind-set with problem-solving skills and ability to think algorithmically Excellent communication and collaboration skills",Full Time,Manager,"['Analysis', 'Business Analysis', 'Business Strategy', 'Corporate Finance', 'Data Analysis', 'Equities', 'Financial Analysis', 'Financial Modeling', 'Investment Banking', 'Investments', 'Leadership', 'Management', 'Microsoft Excel', 'Microsoft Office', 'Process Improvement', 'Project Management', 'Research', 'Strategic Planning', 'Strategy', 'Valuation']","$3,500","$6,500",Monthly,18 Apr 2019,18 May 2019
130,JOB-2019-0050476,Electrical Manager (Data Centre),CHONG SENG CONSULTANTS PTE. LTD.,"GOLDEN MILE TOWER, 6001 BEACH ROAD 199589",Building and Construction,https://www.mycareersfuture.sg/job/electrical-manager-chong-seng-consultants-9161e40b5222c2a5b42c3cb951f6b179,,Must possess good Electrical design and technical knowledge  Degree / diploma in Electrical or it's equivalent With at least 5 years of Electrical (Construction/Installation/Design) experiences ,Permanent,Manager,"['AutoCAD', 'Automation', 'Commissioning', 'Construction', 'Electrical Engineering', 'Electronics', 'Energy', 'Engineering', 'Engineering Management', 'Instrumentation', 'Manufacturing', 'Matlab', 'Microsoft Office', 'Power Distribution', 'Power Generation', 'Power Systems', 'Project Engineering', 'Project Management', 'Systems Engineering', 'Testing']","$6,000","$12,000",Monthly,18 Apr 2019,18 May 2019
131,JOB-2019-0083950,Data Engineer,DP INFORMATION NETWORK PTE. LTD.,"APERIA, 10 KALLANG AVENUE 339510",Information Technology,https://www.mycareersfuture.sg/job/data-engineer-dp-information-network-828ce4ce4c25d05781945dd2f35d07d6," Responsibilities include, but are not limited to, taking the lead in the following areas: ","Minimum of 5 -8 years in progressive professional roles in big data and analytics A bachelor's degree in information systems, engineering, computer science or equivalent work experience in big data is preferred A high calibre individual who can create and propose technical data engineering solutions using open source technology stack and which support the analytical tool of choice of our data scientists You will play a critical role in designing, developing and implementing data lakes using big data technologies such as Hadoop. Candidate needs to be hands-on and have a curios nature You will be responsible for building scalable distributed data solutions In collaboration with subject matter experts and data stewards, defines and implements data strategy, policies, controls, and programs to ensure the enterprise data is accurate, complete, secure, and reliable Manages, analyzes, and resolves data initiative issues and manages revisions needed to best meet internal and customer requirements while adhering to published data standard Assists in the application and implementation procedures of data standards and guidelines on data stewardship, coding structures, and data replication to ensure access to and integrity of data sets Be proactive and a self-starter, and be comfortable with ambiguity Experian product knowledge is advantageous, but not essential Preferably some vendor experience Should have previously worked on a large scale Big Data project till implementation Strong presentation skills Self-motivated, assertive, goal oriented and able to work productively with minimal supervision Excellent written and verbal communication skills Good interpersonal skills and ability to work effectively with other team members, on a global basis  5+ years of hands-on programming using Python, Java, C, C++, and Scala 5+ years of hands on experience using:      Working Knowledge of RDBMS DB Working knowledge of developing RESTFUL API’s Knowledge of UNIX – Script language is highly preferable Knowledge of multi-tier architectures and deployment Knowledge of real-time, batch applications Knowledge of IBM mainframes, z/OS, and virtualization technologies a plus Knowledge of Change Data Capture/Replication technologies a plus",Permanent,Professional,"['Analysis', 'Business Analysis', 'Clinical Data Management', 'Clinical Trials', 'Data Analysis', 'Data Management', 'Databases', 'Earth Science', 'EDC', 'GCP', 'Information Management', 'Leadership', 'Management', 'Microsoft Office', 'Microsoft SQL Server', 'Oracle Clinical', 'Program Management', 'Project Management', 'Research', 'SQL']","$6,000","$8,000",Monthly,18 Apr 2019,18 May 2019
132,JOB-2019-0083298,Optimisation Specialist,WOODPECKER ASIA TECH PTE. LTD.,,Information Technology,https://www.mycareersfuture.sg/job/optimisation-specialist-woodpecker-asia-tech-8464d208c840d05d6a8d8d94071ed428,"We don’t usually toot our own horn but (seeing as you might work here soon) we thought you might like to know GoBear is Asia’s first and only metasearch engine for financial products. We spend our days trying to figure out how to make comparing insurance and banking products as awesome as possible. Our happy place is where users don’t even have to think twice – they can choose a financial product that’s right for them and feel confident with their choice (we know that’s a nerdy happy place, but we can’t help what we love). We’re looking for people who break the mould; who’ve got a hankering to do something completely different. Obviously we want our bears to be smart and hardworking but, more importantly, we want people on our team who love technology, who love their job, and who aren’t afraid to fail while trying something completely crazy. Oh, and if you have a chuckle while reading WYSIWYG,#companykarma, GSD and “If you don’t listen to your customers, someone else will.”, then you’ll fit right into the team. If that all sounds up your alley, then read on.                                  You’ll be reporting into the Conversion Director and you’ll also get to hang out with the Marketing and Product teams in the GoBear Support Centre, helping to improve the Marketing spend ROI. We need an experienced, no-nonsense, hands-on person who can do most (or all!) of these:                       ","You have 3 years of experience in CRO, Consumer Analytics or related roles You have experience in developing and managing A/B and MVT tests You have a Bachelor's degree in a related field. You have excellent interpersonal and communication skills You are an expert in Google tools (Google Analytics, Google Optimize, Google Tag Manager) If you have basic coding skills in Javascript, JQuery, HTML and CSS, it will be a plus! A Google Analytics Certification is a definite bonus You’re a straight talker who gets stuff done and you don’t break a sweat under pressure You’ve got an eye for detail – you are meticulous and nothing slips by you Your friends and family probably get annoyed with you because you can’t let a problem go unsolved You play well with others You’re great at prioritising your work and you never miss a deadline   A self-starter who is highly motivated You love what you do and you always give 100%","Permanent, Full Time",Executive,"['Analysis', 'Business Analysis', 'Clinical Data Management', 'Clinical Trials', 'Data Analysis', 'Data Management', 'Databases', 'Earth Science', 'EDC', 'GCP', 'Information Management', 'Leadership', 'Management', 'Microsoft Office', 'Microsoft SQL Server', 'Oracle Clinical', 'Program Management', 'Project Management', 'Research', 'SQL']","$4,000","$7,000",Monthly,18 Apr 2019,18 May 2019
133,JOB-2019-0083270,"Manager for Process, Systems & Data Management, APAC",Company Undisclosed,,Accounting / Auditing / Taxation,https://www.mycareersfuture.sg/job/manager-process-systems-data-management-apac-b4804fe226759abb514b610daf5a64c6," Provides support in driving standard processes with focus on controls and the management of the finance systems and applications and its data to support the organization’s process & reporting and needs.  • Leading and providing guidance on the design of standard processes, ensuring existence of controls & compliance  • Control on the maintenance of the quality of the finance system & data  • Systems & applications issue resolution management  • Systems & applications new/changes implementation management  • Supports general management of engagement with Global Services Manila /Customer Care Center  • Supports review and sign off of business cases of Global Services Manila initiatives, establishing the quantitative and qualitative benefits of initiatives vs the possible cost to the organization for doing it  • Country/Regional (change) management for initiatives  • Country/Region issue resolution management  • Supports countries/regions in driving service delivery and improvements  • Implementing initiatives supporting quality control and improvements  • Management of Ad hoc Regional/Corporate Finance projects or initiatives  • Management of Ad hoc Regional/Corporate requirements",,Permanent,Manager,"['Accounting', 'Analysis', 'Auditing', 'Budgets', 'Business Planning', 'Business Strategy', 'Finance', 'Financial Accounting', 'Financial Analysis', 'Financial Modeling', 'Financial Reporting', 'Forecasting', 'Internal Controls', 'Leadership', 'Management', 'Managerial Finance', 'Process Improvement', 'Strategic Financial Planning', 'Strategic Planning', 'Strategy']","$8,000","$12,000",Monthly,18 Apr 2019,18 May 2019
134,JOB-2019-0081989,Data Center Facilities Manager - Singapore,GOOGLE ASIA PACIFIC PTE. LTD.,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981","Engineering, Repair and Maintenance",https://www.mycareersfuture.sg/job/data-center-facilities-manager-singapore-google-asia-pacific-5ec21e61cfa29666657c37b78830355f,"Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another. The Data Center team designs and operates some of the most sophisticated electrical engineering, mechanical engineering and HVAC systems in the world. Facility Technicians at Google data centers operate, monitor and support physical facilities conditions. Some duties will include heating and cooling of air and water, power supply, generators, UPS systems, electrical distribution and control and monitoring systems. You regularly help inspect, maintain and repair various data center systems such as piping and non-critical electrical or mechanical system components). You'll provide daily assistance to senior technicians as you read blueprints/schematics, conduct tours of systems and assess their working order. You will develop creative approaches to reducing operational costs while improving overall data center efficiency. You ensure that environmental and safety standards are consistently met, identifying problems and making repairs quickly In emergency situations or abnormal conditions, you manage data center performance issues and outages to minimize the recovery time from failures. As a Data Center Facilities Manager, you will lead a large team who are responsible for 24/7 data center operations. You will be responsible for meeting service level agreements with internal teams regarding uptime, efficiencies, and cost. In addition, you will work to grow the team in order to meet the needs of the business, while also leveraging technical talent and identifying key hiring needs for regional data centers. - Provide technical input in the planning, design, and development of all electrical and mechanical facilities equipment. - Ensure that facilities issues are identified and repaired quickly. - Mentor and develop the skills of an internal team in order to scale in support of facilities equipment. - Work towards continual improvement in operation and maintenance efficiencies and travel to other regions to facilitate projects. - Lead a team of skilled electrical and mechanical technicians.",,Full Time,Executive,"['Budgets', 'Construction', 'Contract Negotiation', 'Customer Service', 'Energy', 'Energy Management', 'Engineering', 'Facilities Management', 'Leadership', 'Management', 'Microsoft Excel', 'Microsoft Office', 'Operations Management', 'PowerPoint', 'Procurement', 'Program Management', 'Project Management', 'Research', 'Team Leadership', 'Time Management']","$5,700","$11,400",Monthly,17 Apr 2019,17 May 2019
